,0
1117,Arsure-Arsurette
1118,Arsy
1119,Art-sur-Meurthe
1120,Artagnan
1121,Artaise-le-Vivier
1122,Artaix
1123,Artalens-Souin
1124,Artannes-sur-Indre
1125,Artannes-sur-Thouet
1126,Artas
1127,Artassenx
1128,Artemare
1129,Artemps
1130,Artenay
1131,Arthaz-Pont-Notre-Dame
1132,Arthel
1133,Arthémonay
1134,Arthenac
1135,Arthès
1136,Arthez-d'Armagnac
1137,Arthez-d'Asson
1138,Arthez-de-Béarn
1139,Arthezé
1140,Arthies
1141,Arthon
1142,Arthonnay
1143,Arthun
1144,Artigat
1145,Artignosc-sur-Verdon
1146,Artigue
1147,Artigueloutan
1148,Artiguelouve
1149,Artiguemy
1150,Artigues
1151,Artigues
1152,Artigues
1153,Artigues
1154,Artigues-près-Bordeaux
1155,Artins
1156,Artix
1157,Artix
1158,Artolsheim
1159,Artonne
1160,Artres
1161,Artzenheim
1162,Arudy
1163,Arue
1164,Arvert
1165,Arveyres
1166,Arvière-en-Valromey
1167,Arvieu
1168,Arvieux
1169,Arvigna
1170,Arvillard
1171,Arville
1172,Arvillers
1173,Arx
1174,Arzacq-Arraziguet
1175,Arzal
1176,Arzano
1177,Arzembouy
1178,Arzenc-d'Apcher
1179,Arzenc-de-Randon
1180,Arzens
1181,Arzillières-Neuville
1182,Arzon
1183,Arzviller
1184,Asasp-Arros
1185,Ascain
1186,Ascarat
1187,Aschbach
1188,Aschères-le-Marché
1189,Asco
1190,Ascou
1191,Ascoux
1192,Ascros
1193,Asfeld
1194,Aslonnes
1195,Asnan
1196,Asnans-Beauvoisin
1197,Asnelles
1198,Asnières
1199,Asnières-en-Bessin
1200,Asnières-en-Montagne
1201,Asnières-en-Poitou
1202,Asnières-la-Giraud
1203,Asnières-lès-Dijon
1204,Asnières-sous-Bois
1205,Asnières-sur-Blour
1206,Asnières-sur-Nouère
1207,Asnières-sur-Oise
1208,Asnières-sur-Saône
1209,Asnières-sur-Seine
1210,Asnières-sur-Vègre
1211,Asnois
1212,Asnois
1213,Aspach
1214,Aspach
1215,Aspach-le-Bas
